Title,Description,Status,Priority,Labels
Auth (Better Auth: OTP + magic link + social + org),Email-OTP sign-in + sessions on Neon; verified E2E,Done,High,v1-spine
Memory: Postgres+RLS membrane + versioned bi-temporal atoms,Non-owner role RLS; provenance; recall,Done,High,v1-spine;memory
Multi-signal recall (pgvector + FTS via RRF),Gemini embeddings 768d; semantic+keyword fusion,Done,High,v1-spine;memory
Trust layer: Rule-of-Two gate + approve-before-act + policy store + audit,Reads autonomous; writes gated,Done,High,v1-spine;trust
Agent loop (converse: recall -> reason -> gate -> learn),Multi-step; provider-agnostic (Gemini via AI SDK),Done,High,v1-spine;agent
"DO runtime (HelloAgent, one per user)",SQLite-backed; Morning-Brief alarm scaffold,Done,High,v1-spine;runtime
Integrations: Composio (Gmail read + gated send),v3 SDK; connect flow,Done,High,v1-spine;integrations
Channel: Telegram adapter + linking,@kalfiraana_bot; channel_link,Done,High,v1-spine;channels
Deploy to prod (Cloudflare Workers free + SQLite DOs),Live at helloo-api.getyourbumb.workers.dev,Done,High,ops
Migrate real memory from old helloo-brain,1044 memories + 80 people -> atoms,Done,Medium,migration;memory
Wire old Composio connections (composio_identity),Gmail/Calendar/Slack/Drive/Docs/Tasks/Sheets,Done,Medium,integrations
Dynamic gated multi-toolkit tools (Calendar + Slack + Gmail + Tasks),Reads autonomous; writes gated; flagship complete,Done,High,integrations;agent
Telegram reliability: fix silent webhook drop (secret_token mismatch),"Root cause: worker required X-Telegram-Bot-Api-Secret-Token but setWebhook had no secret_token, so every real update was rejected in ~4ms. Fixed by re-registering setWebhook with the matching secret_token. Synchronous webhook (~10s/turn) works within Telegram's budget; warm-up cron keeps Neon warm.",Done,Urgent,channels;reliability
Add Docs + Sheets tools,Curated read+write with verified slugs (docs search/read/create-md; sheets search/read/append-row); APPEND/UPSERT added to write-gate regex,Done,Low,integrations
Connection-permission flow,"helloo asks to connect a new app instead of failing (helloo_connect_account tool returns an OAuth link)",Done,High,integrations;trust
Expand toolset + response-template policy,"Slack read (find/history/search) + Gmail reply/read-thread + Calendar update/delete/free-slots; converse system prompt = explicit response policy; docs/SCENARIOS.md maps every intent->behaviour->template",Done,High,integrations;agent
People / entity graph + cross-channel identity resolution,"person + person_identity (RLS) + find_person + AUTO-FILL from Gmail (helloo_import_contacts: senders -> resolve/unify; verified 80->93 people, 13 email identities). Remaining: Slack/phone sources, service-vs-person filtering, auto-on-read.",In Progress,High,memory;people
Import old entities/entity_mentions,80 legacy people imported from helloo-brain Supabase into person table (emails were null; identities come from live extraction),Done,Medium,migration;people
WhatsApp channel via Baileys (user's own account on sandbox),Expose API; different risk than banned Business-API bot,Todo,Medium,channels
Telephony: agents with phone numbers (call/receive),Buy the pipe; call helloo + agent-initiated calls,Todo,Medium,channels;voice
helloo-as-MCP-server channel,"Read-only MCP server live: /api/mcp/:token exposes recall_memory/find_person/web_search; per-user token (mcp_token); verified handshake+calls. Remaining: gated writes, OAuth, token UI.",In Progress,Medium,channels;mcp
Proactive scheduler (reminders + recurring briefs),"reminder table (RLS) + @helloo/scheduler + agent tools (schedule/list/cancel) + cron delivery (say/run modes, daily/weekly). Verified E2E: scheduled via chat, cron fired + delivered to Telegram + advanced.",Done,Urgent,scheduler;agent;runtime
In-Telegram onboarding (email -> OTP -> account + link),"New user signs up from inside the chat: ask email, send OTP, verify, create account + channel_link, clear state. Verified E2E (user + link created, chat then operates). channel_onboarding table + auth OTP helpers.",Done,High,auth;channels;onboarding
"Multi-account connectors (multiple accounts per toolkit)","connection table mirrors Composio accounts; one default per toolkit; executeAction routes via connectedAccountId; list/set-default/label agent tools. Verified: 4 Google Docs + 2 Slack accounts, default switch via chat works.",Done,High,integrations;connectors
Web search tool (Tavily),"web_search agent tool (Tavily HTTP API); enabled via TAVILY_API_KEY; verified live E2E (17s turn, cited sources). Unlocks research + daily brief.",Done,High,integrations;agent
Email delivery live (Resend + verified domain),"RESEND_API_KEY + EMAIL_FROM (hello@bumblegenerator.com) set as CF secrets; domain verified (DKIM/SPF/DMARC on Cloudflare); real OTP delivery to any address confirmed.",Done,High,auth;ops
Activate Telegram webhook secret,Set TELEGRAM_WEBHOOK_SECRET + re-setWebhook secret_token,Done,Medium,security
Security hardening: egress allowlist + OBO tokens + sandbox (Q40),The real boundary under the gate,Todo,Medium,security
"Memory UI surfaces (inspect/edit/forget, provenance, People view)",Design gate; deferred while backend-first,Backlog,Low,ui
Workspaces / orgs (v2),Multi-tenant; org/shared membrane,Backlog,Low,v2
Bring-your-own-agent + tool/skill registry (v2),A2A Agent Cards,Backlog,Low,v2
helloo-ai on-device models (v2),One base + LoRA adapters,Backlog,Low,v2
